name,address,city,state,zip_code,latitude,longitude,error
Willis Tower,233 S Wacker Dr,Chicago,IL,60606,41.878738,-87.6359612,
Millennium Park,201 E Randolph St,Chicago,IL,60602,41.8841262,-87.6214286,
Navy Pier,600 E Grand Ave,Chicago,IL,60611,41.8914379,-87.6006082,
Art Institute of Chicago,111 S Michigan Ave,Chicago,IL,60603,41.879381,-87.62368,
Lincoln Park Zoo,2001 N Clark St,Chicago,IL,60614,41.9219136,-87.6342484,
Shedd Aquarium,1200 S Lake Shore Dr,Chicago,IL,60605,41.9838853,-87.6527024,
Field Museum,1400 S Lake Shore Dr,Chicago,IL,60605,41.9838853,-87.6527024,
Adler Planetarium,1300 S Lake Shore Dr,Chicago,IL,60605,41.9838853,-87.6527024,
Brookfield Zoo,8400 W 31st St,Brookfield,IL,60513,41.8330104,-87.8334687,
Starved Rock State Park,2678 E 875th Rd,Oglesby,IL,61348,41.3182029,-89.0398294,
Illinois State Capitol,401 S 2nd St,Springfield,IL,62701,39.7984257,-89.654918,
Abraham Lincoln Presidential Library,112 N 6th St,Springfield,IL,62701,39.8022508,-89.6475058,
Cahokia Mounds,30 Ramey St,Collinsville,IL,62234,38.6549334,-90.059298,
Anderson Japanese Gardens,318 Spring Creek Rd,Rockford,IL,61107,42.2897764,-89.0578903,
Shawnee National Forest,,Herod,IL,62946,37.5200463,-88.4645671,
Magnificent Mile,North Michigan Ave,Chicago,IL,60611,41.9004187,-87.6240573,
Chicago Riverwalk,Chicago River,Chicago,IL,60601,41.8884954,-87.6246857,
Grant Park,337 E Randolph St,Chicago,IL,60601,41.8839542,-87.6191168,
Morton Arboretum,4100 IL-53,Lisle,IL,60532,41.7964792,-88.0771515,
Illinois Railway Museum,7000 Olson Rd,Union,IL,60180,42.2267461,-88.5267664,
Chicago Botanic Garden,1000 Lake Cook Rd,Glencoe,IL,60022,42.1487797,-87.7893058,
Museum of Science and Industry,5700 S Lake Shore Dr,Chicago,IL,60637,41.7907492,-87.582931,
Peoria Riverfront Museum,222 SW Washington St,Peoria,IL,61602,40.6892166,-89.5902176,
Rock Island Arsenal Museum,1 Rock Island Arsenal,Rock Island,IL,61201,41.5173258,-90.5357316,
Matthiessen State Park,2500 IL-178,Oglesby,IL,61348,41.2867387,-89.0303836,
